Team,Match Up,Game Date,Result,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PlusMinus
MIN,MIN @ SEA,05/06/2022,L,40,74,31,79,39.2,4,21,19,8,11,72.7,13,24,37,23,17,9,3,17,-23
CHI,CHI vs. LAS,05/06/2022,L,45,91,36,70,51.4,7,22,31.8,12,15,80,6,25,31,28,25,11,2,22,-7
LVA,LVA @ PHO,05/06/2022,W,40,106,39,67,58.2,11,21,52.4,17,18,94.4,5,33,38,27,16,2,5,23,18
LAS,LAS @ CHI,05/06/2022,W,45,98,32,65,49.2,7,19,36.8,27,33,81.8,8,28,36,20,22,19,4,20,7
IND,IND @ WAS,05/06/2022,L,40,70,30,72,41.7,5,22,22.7,5,8,62.5,12,30,42,17,18,3,4,20,-14
WAS,WAS vs. IND,05/06/2022,W,40,84,31,69,44.9,4,18,22.2,18,20,90,6,25,31,20,8,4,5,12,14
SEA,SEA vs. MIN,05/06/2022,W,40,97,35,66,53,12,25,48,15,15,100,4,25,29,26,14,14,8,17,23
PHO,PHO vs. LVA,05/06/2022,L,40,88,33,73,45.2,6,24,25,16,19,84.2,6,20,26,20,10,6,2,16,-18
DAL,DAL vs. ATL,05/07/2022,L,40,59,17,70,24.3,4,19,21.1,21,27,77.8,11,28,39,9,19,12,7,19,-7
ATL,ATL @ DAL,05/07/2022,W,40,66,20,63,31.7,7,27,25.9,19,22,86.4,9,38,47,11,24,10,9,24,7
NYL,NYL vs. CON,05/07/2022,W,40,81,28,59,47.5,10,25,40,15,21,71.4,7,20,27,17,17,9,4,25,2
CON,CON @ NYL,05/07/2022,L,40,79,27,64,42.2,4,17,23.5,21,28,75,11,23,34,16,16,10,6,19,-2
LAS,LAS @ IND,05/08/2022,W,40,87,34,71,47.9,1,10,10,18,20,90,11,30,41,18,21,15,5,16,10
MIN,MIN vs. WAS,05/08/2022,L,40,66,23,66,34.8,5,15,33.3,15,22,68.2,10,26,36,17,17,6,8,18,-12
LVA,LVA vs. SEA,05/08/2022,W,40,85,30,67,44.8,7,18,38.9,18,22,81.8,7,38,45,18,16,5,10,21,11
WAS,WAS @ MIN,05/08/2022,W,40,78,29,69,42,7,21,33.3,13,13,100,8,30,38,21,16,5,1,21,12
IND,IND vs. LAS,05/08/2022,L,40,77,29,78,37.2,10,26,38.5,9,14,64.3,12,21,33,20,19,11,6,22,-10
SEA,SEA @ LVA,05/08/2022,L,40,74,27,76,35.5,11,34,32.4,9,11,81.8,7,23,30,17,11,6,8,19,-11
IND,IND vs. MIN,05/10/2022,W,40,82,31,70,44.3,9,20,45,11,15,73.3,9,25,34,23,18,12,7,14,6
WAS,WAS vs. LVA,05/10/2022,W,40,89,33,74,44.6,9,27,33.3,14,17,82.4,8,30,38,21,9,10,7,18,13
LVA,LVA @ WAS,05/10/2022,L,40,76,27,65,41.5,6,17,35.3,16,18,88.9,5,29,34,16,16,4,7,16,-13
MIN,MIN @ IND,05/10/2022,L,40,76,32,77,41.6,4,19,21.1,8,14,57.1,15,25,40,23,19,8,3,16,-6
LAS,LAS @ ATL,05/11/2022,L,40,75,25,72,34.7,6,19,31.6,19,23,82.6,9,27,36,16,8,5,8,16,-2
CHI,CHI vs. NYL,05/11/2022,W,40,83,31,68,45.6,10,22,45.5,11,13,84.6,7,29,36,20,8,5,6,14,33
NYL,NYL @ CHI,05/11/2022,L,40,50,20,60,33.3,2,15,13.3,8,9,88.9,6,25,31,16,15,3,5,14,-33
PHO,PHO vs. SEA,05/11/2022,W,40,97,36,63,57.1,12,21,57.1,13,17,76.5,5,32,37,26,18,6,3,22,20
SEA,SEA @ PHO,05/11/2022,L,40,77,27,71,38,11,28,39.3,12,16,75,9,20,29,20,16,10,3,21,-20
ATL,ATL vs. LAS,05/11/2022,W,40,77,24,69,34.8,13,30,43.3,16,19,84.2,7,32,39,14,14,3,1,20,2
WAS,WAS vs. DAL,05/13/2022,L,40,86,31,59,52.5,13,25,52,11,17,64.7,7,25,32,23,21,6,3,19,-8
DAL,DAL @ WAS,05/13/2022,W,40,94,31,65,47.7,13,29,44.8,19,23,82.6,9,20,29,22,11,8,3,20,8
LVA,LVA @ ATL,05/13/2022,W,40,96,32,68,47.1,16,35,45.7,16,19,84.2,6,25,31,24,13,11,8,16,23
NYL,NYL vs. IND,05/13/2022,L,45,86,29,80,36.3,10,25,40,18,21,85.7,5,28,33,17,17,12,4,22,-6
IND,IND @ NYL,05/13/2022,W,45,92,31,81,38.3,7,22,31.8,23,29,79.3,16,41,57,12,21,9,5,23,6
ATL,ATL vs. LVA,05/13/2022,L,40,73,28,65,43.1,8,17,47.1,9,14,64.3,7,29,36,16,21,5,6,19,-23
CHI,CHI @ MIN,05/14/2022,W,40,82,28,69,40.6,8,24,33.3,18,20,90,8,20,28,23,7,9,4,20,4
PHO,PHO @ SEA,05/14/2022,W,40,69,26,69,37.7,12,32,37.5,5,8,62.5,7,35,42,19,16,6,2,14,5
LAS,LAS @ CON,05/14/2022,L,40,60,19,54,35.2,3,12,25,19,22,86.4,8,13,21,11,20,11,2,23,-17
MIN,MIN vs. CHI,05/14/2022,L,40,78,29,59,49.2,6,16,37.5,14,23,60.9,9,28,37,23,15,2,3,21,-4
SEA,SEA vs. PHO,05/14/2022,L,40,64,24,77,31.2,8,31,25.8,8,10,80,14,25,39,12,10,8,8,11,-5
CON,CON vs. LAS,05/14/2022,W,40,77,28,70,40,5,20,25,16,21,76.2,19,26,45,17,20,14,2,23,17
DAL,DAL @ NYL,05/15/2022,W,40,81,28,63,44.4,9,20,45,16,20,80,8,25,33,16,15,6,2,19,10
ATL,ATL @ IND,05/15/2022,W,40,85,28,57,49.1,6,17,35.3,23,30,76.7,4,28,32,12,20,8,3,23,6
NYL,NYL vs. DAL,05/15/2022,L,40,71,29,60,48.3,7,22,31.8,6,11,54.5,4,24,28,18,18,7,4,20,-10
IND,IND vs. ATL,05/15/2022,L,40,79,28,68,41.2,11,23,47.8,12,19,63.2,8,21,29,19,17,4,2,23,-6
DAL,DAL vs. WAS,05/17/2022,L,40,68,25,61,41,7,21,33.3,11,16,68.8,4,23,27,16,16,6,2,12,-16
ATL,ATL @ IND,05/17/2022,W,40,101,34,63,54,10,22,45.5,23,26,88.5,4,31,35,19,15,8,2,26,22
IND,IND vs. ATL,05/17/2022,L,40,79,30,80,37.5,6,30,20,13,19,68.4,15,21,36,22,12,6,6,22,-22
LAS,LAS vs. MIN,05/17/2022,L,40,84,32,67,47.8,8,20,40,12,17,70.6,7,19,26,23,14,10,6,20,-3
CON,CON @ NYL,05/17/2022,W,40,92,30,62,48.4,7,15,46.7,25,28,89.3,5,21,26,16,18,16,2,21,27
MIN,MIN @ LAS,05/17/2022,W,40,87,31,64,48.4,9,17,52.9,16,19,84.2,13,27,40,19,19,9,2,21,3
PHO,PHO @ LVA,05/17/2022,L,40,74,26,60,43.3,8,25,32,14,15,93.3,3,28,31,19,18,4,2,25,-12
NYL,NYL vs. CON,05/17/2022,L,40,65,22,52,42.3,7,22,31.8,14,18,77.8,5,23,28,13,32,9,2,22,-27
LVA,LVA vs. PHO,05/17/2022,W,40,86,29,62,46.8,9,23,39.1,19,26,73.1,3,26,29,19,10,6,3,20,12
WAS,WAS @ DAL,05/17/2022,W,40,84,34,66,51.5,8,16,50,8,11,72.7,7,30,37,23,13,10,2,17,16
SEA,SEA vs. CHI,05/18/2022,W,40,74,29,70,41.4,8,28,28.6,8,14,57.1,12,23,35,26,17,10,3,14,3
CHI,CHI @ SEA,05/18/2022,L,40,71,30,65,46.2,6,17,35.3,5,7,71.4,8,22,30,26,19,7,1,15,-3
DAL,DAL @ PHO,05/19/2022,W,40,94,34,72,47.2,11,25,44,15,17,88.2,7,31,38,25,9,3,8,20,10
PHO,PHO vs. DAL,05/19/2022,L,40,84,29,73,39.7,5,24,20.8,21,23,91.3,7,26,33,15,5,3,3,18,-10
LVA,LVA vs. MIN,05/19/2022,W,40,93,31,67,46.3,9,27,33.3,22,29,75.9,10,22,32,22,11,8,1,15,6
MIN,MIN @ LVA,05/19/2022,L,40,87,31,68,45.6,6,21,28.6,19,22,86.4,8,28,36,21,12,5,5,21,-6
IND,IND @ CON,05/20/2022,L,40,85,34,63,54,6,15,40,11,13,84.6,3,22,25,14,21,7,2,27,-9
ATL,ATL vs. WAS,05/20/2022,L,40,73,27,66,40.9,8,24,33.3,11,14,78.6,8,18,26,16,15,9,1,26,-5
LAS,LAS @ SEA,05/20/2022,L,40,80,32,61,52.5,3,14,21.4,13,17,76.5,5,26,31,16,16,6,7,21,-3
CON,CON vs. IND,05/20/2022,W,40,94,31,71,43.7,11,19,57.9,21,29,72.4,11,20,31,19,17,11,2,18,9
SEA,SEA vs. LAS,05/20/2022,W,40,83,29,69,42,8,28,28.6,17,21,81,8,24,32,27,12,9,3,18,3
WAS,WAS @ ATL,05/20/2022,W,40,78,25,55,45.5,3,18,16.7,25,31,80.6,6,27,33,19,18,9,3,18,5
LVA,LVA vs. PHO,05/21/2022,W,40,100,34,71,47.9,9,27,33.3,23,30,76.7,9,26,35,18,10,10,5,22,20
MIN,MIN @ DAL,05/21/2022,L,40,78,27,61,44.3,5,11,45.5,19,24,79.2,4,20,24,20,15,7,7,14,-16
DAL,DAL vs. MIN,05/21/2022,W,40,94,34,73,46.6,9,27,33.3,17,20,85,15,24,39,20,15,7,5,26,16
PHO,PHO @ LVA,05/21/2022,L,40,80,29,70,41.4,9,29,31,13,20,65,10,23,33,16,15,3,6,25,-20
CHI,CHI @ WAS,05/22/2022,W,40,82,34,63,54,5,20,25,9,12,75,5,32,37,23,15,8,4,16,9
IND,IND vs. CON,05/22/2022,L,40,70,22,63,34.9,3,17,17.6,23,27,85.2,12,17,29,16,15,6,1,24,-22
WAS,WAS vs. CHI,05/22/2022,L,40,73,27,72,37.5,9,21,42.9,10,11,90.9,8,21,29,21,13,10,4,12,-9
CON,CON @ IND,05/22/2022,W,40,92,35,68,51.5,6,13,46.2,16,20,80,11,22,33,23,14,7,2,25,22
LAS,LAS @ LVA,05/23/2022,L,40,76,30,75,40,5,23,21.7,11,14,78.6,6,26,32,17,6,3,5,16,-28
LVA,LVA vs. LAS,05/23/2022,W,40,104,36,71,50.7,18,38,47.4,14,16,87.5,4,38,42,27,7,2,2,15,28
ATL,ATL @ WAS,05/24/2022,L,40,50,20,56,35.7,4,21,19,6,8,75,9,27,36,12,25,8,4,18,-20
CHI,CHI vs. IND,05/24/2022,W,40,95,31,65,47.7,6,15,40,27,35,77.1,11,27,38,23,16,10,6,18,5
WAS,WAS vs. ATL,05/24/2022,W,40,70,26,60,43.3,7,22,31.8,11,15,73.3,6,24,30,19,14,11,7,17,20
IND,IND @ CHI,05/24/2022,L,40,90,34,82,41.5,9,20,45,13,18,72.2,15,25,40,21,16,10,7,25,-5
NYL,NYL @ MIN,05/24/2022,L,40,78,28,71,39.4,9,32,28.1,13,18,72.2,9,30,39,24,13,4,6,20,-6
DAL,DAL @ CON,05/24/2022,W,40,85,28,70,40,7,22,31.8,22,24,91.7,13,24,37,17,10,3,5,24,8
MIN,MIN vs. NYL,05/24/2022,W,40,84,26,70,37.1,5,14,35.7,27,33,81.8,12,33,45,17,10,7,3,16,6
CON,CON vs. DAL,05/24/2022,L,40,77,27,68,39.7,3,13,23.1,20,24,83.3,11,22,33,24,12,3,3,19,-8
PHO,PHO @ LAS,05/25/2022,L,40,94,34,60,56.7,7,20,35,19,23,82.6,7,19,26,21,18,10,5,17,-5
LAS,LAS vs. PHO,05/25/2022,W,40,99,39,66,59.1,8,11,72.7,13,17,76.5,5,19,24,24,15,10,4,15,5
CON,CON vs. DAL,05/26/2022,W,40,99,34,70,48.6,6,21,28.6,25,27,92.6,16,26,42,24,13,12,2,13,31
DAL,DAL @ CON,05/26/2022,L,40,68,24,65,36.9,10,30,33.3,10,12,83.3,10,18,28,16,19,7,1,20,-31
NYL,NYL @ SEA,05/27/2022,L,45,71,24,70,34.3,9,32,28.1,14,14,100,14,35,49,19,24,5,6,27,-8
LAS,LAS @ IND,05/27/2022,L,40,96,35,71,49.3,7,14,50,19,28,67.9,12,23,35,24,13,8,5,20,-5
IND,IND vs. LAS,05/27/2022,W,40,101,32,70,45.7,11,21,52.4,26,29,89.7,10,24,34,23,14,8,7,24,5
SEA,SEA vs. NYL,05/27/2022,W,45,79,25,72,34.7,7,24,29.2,22,27,81.5,9,29,38,16,11,13,4,15,8
LVA,LVA @ CHI,05/28/2022,W,40,83,31,84,36.9,4,20,20,17,23,73.9,14,36,50,20,8,6,5,13,7
WAS,WAS @ CON,05/28/2022,L,40,71,28,70,40,8,26,30.8,7,11,63.6,7,12,19,20,9,11,2,21,-8
CON,CON vs. WAS,05/28/2022,W,40,79,28,57,49.1,7,15,46.7,16,19,84.2,10,31,41,20,23,5,4,17,8
