, DAL, NYL, IND, CON, PHO, MIN, LAS, ATL, SEA, LVA, CHI, WAS
DAL, 0, -1, -1, -1, -2, -1, -3, -1, -3, -2, -1, -1
NYL, 1, 0, 0, 0, -1, 0, -2, 0, -2, -1, 0, 0
IND, 1, 0, 0, 0, -1, 0, -2, 0, -2, -1, 1, 1
CON, 1, 0, 0, 0, -1, 0, -2, 0, -2, -1, 1, 1
PHO, 2, 1, 1, 1, 0, 1, -1, 1, 1, 0, 1, 2
MIN, 1, 0, 0, 0, -1, 0, -1, 0, -2, -1, 0, 1
LAS, 3, 2, 2, 2, 1, 1, 0, 1, 1, 1, 2, 3
ATL, 1, 0, 0, 0, -1, 0, -1, 0, -2, -1, 1, 1
SEA, 3, 2, 2, 2, 1, 2, 1, 2, 0, 1, 2, 3
LVA, 2, 1, 1, 1, 0, 1, -1, 1, -1, 0, 1, 2
CHI, 1, 0, -1, -1, -1, 0, -2, 0, -2, -1, 0, 1
WAS, 1, 0, -1, -1, -2, -1, -3, -1, -3, -2, -1, 0
